variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
lp__,-9.8988605524625,-9.7234124,3.168316600050839,3.0739273605599986,-15.3206609,-4.933093355000001,1.0013142236772707,2382.31135779319,3945.528901652201
mu,0.32713109491502,0.317810985,1.0595098083163654,1.014639148698,-1.381034675,2.0340786349999997,1.0005472333058714,5203.335930102967,4210.4207710555875
sigma_delta,1.6181514852047745,1.3903241,1.221371531313285,1.1519035125149997,0.12139553350000001,3.874799109999998,1.0003212407646132,3142.7078596174442,3560.421589879564
z[1],0.14049065031523789,0.14134561,0.8472085293031121,0.823241574771,-1.26807081,1.540430735,1.0003339160854139,8122.207177023208,5279.125992743121
z[2],0.3888358435162487,0.40480697499999996,0.8933910322152466,0.868043389437,-1.09115322,1.8437905499999987,1.0005033368114455,9129.92858484626,6017.143626524378
z[3],-0.386757041070277,-0.409834285,0.9191359179694166,0.8755807350989998,-1.8351539499999998,1.1858547499999983,1.0008011727027384,8335.371577074688,5477.1088538225085
z[4],-0.68452662567111,-0.716508125,0.9167670274181142,0.883168481748,-2.13612573,0.882805124499998,0.9999090660320952,7492.076895326617,5798.332462873551
z[5],-0.29232109272754,-0.29779848,0.8970316400122211,0.8812641710039999,-1.71884679,1.230871549999998,1.0004142822538744,9221.254579648976,5941.123296483174
z[6],0.1466313352845394,0.14204593999999998,0.9063984650193032,0.874315869735,-1.3638239799999998,1.6383967399999997,1.0008389242065245,8970.349165617637,5846.047269193598
z[7],0.24156748539190476,0.2623341,0.889412874652258,0.8715582559739998,-1.23396296,1.7089865399999993,1.0010371442286874,8817.895265677376,5705.834707713672
z[8],0.1287595797675875,0.13752083999999998,0.8970029163374609,0.8887280834879999,-1.320133155,1.5872380799999983,1.0000029810225977,9583.004879035641,6047.321809786242
z[9],0.44602238409416,0.46780707,0.9106613913991293,0.868758499308,-1.0653489200000001,1.9027294249999995,1.0005012300107903,8280.502390772419,5634.657595239177
z[10],-0.14823201348695625,-0.160162685,0.8942275312353768,0.8823582630869998,-1.5927173549999998,1.3356420199999999,1.0004201879068009,8323.390346161767,5372.586636587038
z[11],0.028977599808366387,0.0293260595,0.8728594937515125,0.8572023513689998,-1.37713464,1.4794802,0.9999518310241643,8725.507217508826,5932.381849148237
delta[1],0.597938698133695,0.504951735,1.5511088734963598,1.3788231446219998,-1.8044763149999998,3.275335674999999,1.0014426453349021,9553.001954908867,6717.552895810191
delta[2],1.0905423386255737,0.9211057250000001,1.705320495509306,1.53172780425,-1.3444217199999997,4.2362673449999955,1.0006610666142683,7647.874967695627,6483.420259805195
delta[3],-0.4730781191107525,-0.26354918,1.8113975319118392,1.5872144576609999,-3.810996495,2.0849195649999994,0.9999913604303444,7422.6021591000645,6925.915912065091
delta[4],-1.0619164701508594,-0.713032475,1.9826029479891623,1.777753005735,-4.8858835449999996,1.59695156,1.0003962464477072,5674.667616935271,7067.942652535257
delta[5],-0.26944222556408937,-0.109307885,1.707265861175076,1.5018405304559999,-3.29626033,2.2153985449999962,1.0000332194335426,9562.929158460503,7679.231002463901
delta[6],0.6409833277667134,0.5545096549999999,1.7320057435396012,1.4991341108729996,-1.9858417050000001,3.5928071049999994,1.0006885697988066,9551.936873603705,6971.398876860578
delta[7],0.7997623723663188,0.668636995,1.6208511539630042,1.4117368720349999,-1.6548302599999998,3.679992284999997,1.0008047590839788,8633.239745499115,6867.96893612316
delta[8],0.57907978502292,0.541031855,1.5903364318442308,1.426166157927,-1.9223211999999998,3.272871974999997,0.9999466159046313,10808.785212177429,7398.235090520896
delta[9],1.2436662574339326,0.9949247,1.830924452036356,1.5959654070507001,-1.2915684349999998,4.713594844999999,1.000520598744165,7028.882248085181,7125.242420853443
delta[10],-0.002893900823396999,0.097033861,1.59046787834143,1.3939875717935999,-2.7516199149999996,2.442071879999997,1.0001352171777271,9414.942504154522,6970.184717779497
delta[11],0.3828783131270725,0.37117964000000003,1.5721121813366548,1.4213232820919999,-2.1542792449999997,3.008631635,1.0000589254095,9853.20576841398,6959.89273699177
delta_hat_rep[1],0.6227363240391337,0.619249145,2.9887791774648202,2.962058437317,-4.2213597599999995,5.543192839999992,1.0004195622000052,8167.456195237889,7847.034922508898
delta_hat_rep[2],1.092174058440219,1.0515302499999999,3.229757709866994,3.20366649897,-4.111795985,6.389761464999997,0.9996996013868692,7824.644500467069,7962.422114340441
delta_hat_rep[3],-0.42631976513883374,-0.3668924,3.530184505868895,3.51024275238,-6.30188855,5.299693319999997,1.00032315714865,7912.053123017566,7931.67890706935
delta_hat_rep[4],-1.0277456563554277,-0.91667259,3.586407118588551,3.57474608232,-7.134042969999999,4.619219564999998,1.0002741251083418,7226.361291736831,7321.046852617648
delta_hat_rep[5],-0.22309131978836125,-0.185860475,3.536818782758773,3.45566624487,-6.0810219949999995,5.503425809999999,0.9999665029672796,8365.070873288078,8140.98632084943
delta_hat_rep[6],0.6133767567985196,0.562481135,3.9256537236067577,3.9478505785110003,-5.841583989999998,7.005568614999987,1.0001282273811758,8500.041480311242,7492.524009308908
delta_hat_rep[7],0.84978467512337,0.788424565,3.1701128729213792,3.12522754446,-4.248396835,6.160344059999996,0.9999025375250411,8658.53136906163,7784.780693641926
delta_hat_rep[8],0.552451959638865,0.493463655,3.1351407567461442,3.091837161147,-4.661514755000001,5.764976559999993,0.9997967011764951,9077.977522030076,8099.536710165228
delta_hat_rep[9],1.2354493886524311,1.16882965,3.57305537396608,3.59294981577,-4.54793919,7.106595089999986,1.0002624703092364,7685.288860949301,7842.762255395513
delta_hat_rep[10],0.015149587606875,0.06702828,3.2078599414107667,3.1871341005,-5.341110645,5.158065864999998,1.0008819117935979,7867.752040288561,7412.566293036927
delta_hat_rep[11],0.36002124556515003,0.392184135,3.2207410162006096,3.195585046521,-4.93559149,5.582694154999998,1.0002661567010445,8232.263027153824,7561.663321766598
psi_target,-0.6208454187136088,-0.41131648,1.8113975316986841,1.5872144576609999,-3.9587637950000003,1.9371522649999993,0.9999917660888705,7422.6021591000645,6925.915912065091
