anchor_n_per_group,method,mean_estimate,bias,rmse,mean_interval_width,empirical_coverage,wrong_sign_probability,mean_lambda,benchmark,n_reps
25,Bayes tau=5,-1.7365,1.9799,3.2485,15.2708,0.986,0.246,0.3936,-3.7164,500
25,PPI++,-4.2289,-0.5124,6.634,24.4415,0.95,0.248,0.8698,-3.7164,500
25,PPI/disjoint,-4.201,-0.4845,6.6131,24.5465,0.948,0.254,,-3.7164,500
50,Bayes tau=5,-2.1593,1.5572,2.8304,12.9949,0.976,0.176,0.5614,-3.7164,500
50,PPI++,-3.7181,-0.0017,4.2223,17.3451,0.948,0.186,0.9137,-3.7164,500
50,PPI/disjoint,-3.726,-0.0096,4.2164,17.3776,0.95,0.182,,-3.7164,500
100,Bayes tau=5,-2.7708,0.9456,2.4349,10.4425,0.966,0.124,0.7176,-3.7164,500
100,PPI++,-3.8098,-0.0933,3.122,12.3155,0.958,0.128,0.9383,-3.7164,500
100,PPI/disjoint,-3.7933,-0.0769,3.1132,12.3268,0.958,0.132,,-3.7164,500
200,Bayes tau=5,-3.163,0.5534,1.8742,8.02,0.966,0.048,0.8343,-3.7164,500
200,PPI++,-3.7647,-0.0483,2.1493,8.7685,0.962,0.046,0.94,-3.7164,500
200,PPI/disjoint,-3.7605,-0.0441,2.1413,8.7744,0.962,0.048,,-3.7164,500
